,Hispanic,Non-Hispanic,date,Hispanic_discrepancy,Non-Hispanic_discrepancy
0,2170,63,2020-06-14,1.143529411764706,0.18666666666666668
1,2180,64,2020-06-15,1.1423529411764706,0.19333333333333336
2,2205,63,2020-06-16,1.143529411764706,0.18666666666666668
3,2302,71,2020-06-17,1.1411764705882352,0.2
4,2381,77,2020-06-18,1.14,0.20666666666666667
5,2543,78,2020-06-19,1.1411764705882352,0.2
6,2666,80,2020-06-20,1.1423529411764706,0.19333333333333336
7,2666,80,2020-06-21,1.1423529411764706,0.19333333333333336
8,2666,80,2020-06-22,1.1423529411764706,0.19333333333333336
9,2696,80,2020-06-23,1.1423529411764706,0.19333333333333336
10,2818,83,2020-06-24,1.1423529411764706,0.19333333333333336
11,2883,85,2020-06-25,1.1423529411764706,0.19333333333333336
12,2936,90,2020-06-26,1.1411764705882352,0.2
13,3017,94,2020-06-27,1.1411764705882352,0.2
14,3017,94,2020-06-28,1.1411764705882352,0.2
15,3033,99,2020-06-29,1.1388235294117648,0.21333333333333335
16,3059,99,2020-06-30,1.14,0.20666666666666667
17,3211,104,2020-07-02,1.14,0.20666666666666667
18,3328,110,2020-07-03,1.1388235294117648,0.21333333333333335
19,3380,110,2020-07-05,1.1388235294117648,0.21333333333333335
20,3523,119,2020-07-06,1.1376470588235295,0.22000000000000003
21,3523,119,2020-07-07,1.1376470588235295,0.22000000000000003
22,3608,128,2020-07-08,1.1364705882352941,0.22666666666666668
23,3649,128,2020-07-09,1.1364705882352941,0.22666666666666668
24,3706,129,2020-07-10,1.1364705882352941,0.22666666666666668
25,3706,129,2020-07-11,1.1364705882352941,0.22666666666666668
26,3706,129,2020-07-12,1.1364705882352941,0.22666666666666668
27,3808,135,2020-07-13,1.1364705882352941,0.22666666666666668
28,3815,161,2020-07-14,1.1294117647058823,0.26666666666666666
29,3856,166,2020-07-15,1.128235294117647,0.2733333333333334
30,3960,182,2020-07-16,1.1247058823529412,0.29333333333333333
31,3998,189,2020-07-17,1.1235294117647059,0.3
32,4045,198,2020-07-18,1.1211764705882352,0.31333333333333335
33,4045,198,2020-07-19,1.1211764705882352,0.31333333333333335
34,4073,198,2020-07-20,1.1223529411764706,0.3066666666666667
35,4073,198,2020-07-21,1.1223529411764706,0.3066666666666667
36,4099,199,2020-07-22,1.1223529411764706,0.3066666666666667
37,4182,209,2020-07-23,1.1199999999999999,0.32
38,4223,210,2020-07-24,1.1211764705882352,0.31333333333333335
39,4258,214,2020-07-25,1.1199999999999999,0.32
