,mortality_rate,time,covid_perc,dem_perc,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL
0,0.8780811273460515,4,0.15754257907542604,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
1,0.8814714019690092,5,0.15462384775498092,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
2,0.8865568139034458,6,0.1542083578575631,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
3,0.9035081870182344,7,0.154135338345865,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
4,0.9170692855100654,8,0.1528051874823792,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
5,0.9357157959363328,9,0.15335551858014404,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
6,0.9492768944281638,10,0.15025489669975892,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
7,0.96961854216591,11,0.14953027139874692,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
8,0.9916553272151354,12,0.15046296296296294,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
9,1.0136921122643603,13,0.15035140562248994,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
10,1.057765682362811,15,0.14992791926958193,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
11,1.2747432582321057,23,0.13727637824023367,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
12,1.2916946313468942,25,0.1372478386167147,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
13,1.3137314163961196,26,0.1366678407890102,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
14,1.3764514969208377,27,0.13571786729065685,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
15,1.4306958908881608,29,0.1340107970784376,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
16,1.4747694609866115,30,0.1331397126261082,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
17,1.5103673445276675,31,0.1324907063197026,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
18,1.5493555026916817,32,0.13149187167314055,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
19,1.5629166011835125,33,0.1308543854669316,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
20,1.5646117384949914,34,0.12943486187070538,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
21,1.5849533862327376,35,0.12821917808219174,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
22,1.6290269563311883,36,0.12888948497854075,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
23,1.7019178607247794,37,0.1288005131494548,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
24,1.7646379412494972,38,0.12938105891126025,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
25,1.7866747262987226,39,0.12666746785242158,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
26,1.8205774725283,40,0.1258642915738896,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
27,1.866346179938229,41,0.12627594907672898,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
28,1.9053343381022432,42,0.1272500849088645,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
29,1.9375419470203412,43,0.12642406813405596,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
30,1.9714446932499188,45,0.12426541297147133,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
31,2.0087377141024536,46,0.12328339575530585,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
32,2.0341647737746364,47,0.12331723358339328,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
33,2.0917994423649184,49,0.11956205794012208,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
34,2.156214660201115,50,0.1197063805759458,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
35,2.2884353704964657,54,0.11908962597035992,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
36,2.3104721555456917,55,0.11877995642701525,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
37,2.332508940594917,56,0.11773765722597758,0.306,0.9106532479994924,775.542271374695,473.4315094483089,19.993534339461068,496.09434260940947,48.018554674667286
38,2.919311233434932,4,0.4279197080291971,0.25,0.5972813716859778,406.7967873052496,100.4247213997755,21.477250328344713,398.0661005097903,78.20233503401715
39,2.981556675512436,5,0.4272970561998218,0.25,0.5972813716859778,406.7967873052496,100.4247213997755,21.477250328344713,398.0661005097903,78.20233503401715
40,3.0189039407589378,6,0.4284873454973512,0.25,0.5972813716859778,406.7967873052496,100.4247213997755,21.477250328344713,398.0661005097903,78.20233503401715
41,3.0604009021439404,7,0.4265471370734529,0.25,0.5972813716859778,406.7967873052496,100.4247213997755,21.477250328344713,398.0661005097903,78.20233503401715
42,3.164143305606447,8,0.4299407950380605,0.25,0.5972813716859778,406.7967873052496,100.4247213997755,21.477250328344713,398.0661005097903,78.20233503401715
43,3.2097899631299502,9,0.4292845257903491,0.25,0.5972813716859778,406.7967873052496,100.4247213997755,21.477250328344713,398.0661005097903,78.20233503401715
