White,Hispanic,Asian,Black,date,Native American,Native Hawaiian/Pacific Islander,Multi-Race,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native American_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Multi-Race_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native American_rates,Native Hawaiian/Pacific Islander_rates,Multi-Race_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native American_covidperc,Native Hawaiian/Pacific Islander_covidperc,Multi-Race_covidperc,Native American_demperc,Native Hawaiian/Pacific Islander_demperc,Multi-Race_demperc,Black_demperc,Asian_demperc,White_demperc,Hispanic_demperc
11,8,20,4,2020-06-14,,,,0.630541871921182,1.22368421052632,1.35964912280702,1.78846153846154,,,,0.031039890102084,0.059703520674822,0.063020382934534,0.081026206630115,,,,0.256,0.186,0.465,0.093,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,21,4,2020-06-15,,,,0.615763546798029,1.19736842105263,1.39473684210526,1.75,,,,0.031039890102084,0.059703520674822,0.066171402081261,0.081026206630115,,,,0.25,0.182,0.477,0.091,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,21,4,2020-06-16,,,,0.615763546798029,1.19736842105263,1.39473684210526,1.75,,,,0.031039890102084,0.059703520674822,0.066171402081261,0.081026206630115,,,,0.25,0.182,0.477,0.091,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-17,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-18,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-19,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-20,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-21,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-22,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-23,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
