White,Hispanic,Asian,Black,Other,date,Native Hawaiian/Pacific Islander,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Other_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native Hawaiian/Pacific Islander_rates,Other_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native Hawaiian/Pacific Islander_covidperc,White_demperc,Hispanic_demperc,Asian_demperc,Black_demperc,Native Hawaiian/Pacific Islander_demperc,Other_demperc
39,48,52,8,3,2020-06-17,,0.8440462277626282,1.271523178807947,0.8830022075055187,1.8921475875118259,0.36791758646063283,,0.06611035514767569,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2582781456953642,0.31788079470198677,0.3443708609271523,0.052980132450331126,,0.306,0.25,0.39,0.028,0.005,0.054
39,48,52,8,3,2020-06-18,,0.8384932920536636,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,,0.06611035514767569,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2565789473684211,0.3157894736842105,0.34868421052631576,0.05263157894736842,,0.306,0.25,0.39,0.028,0.005,0.054
39,48,52,8,3,2020-06-19,,0.8384932920536636,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,,0.06611035514767569,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2565789473684211,0.3157894736842105,0.34868421052631576,0.05263157894736842,,0.306,0.25,0.39,0.028,0.005,0.054
40,48,52,8,3,2020-06-20,,0.8599931200550395,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,,0.06780549245915456,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2631578947368421,0.3157894736842105,0.34868421052631576,0.05263157894736842,,0.306,0.25,0.39,0.028,0.005,0.054
40,48,52,8,3,2020-06-21,,0.8599931200550395,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,,0.06780549245915456,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2631578947368421,0.3157894736842105,0.34868421052631576,0.05263157894736842,,0.306,0.25,0.39,0.028,0.005,0.054
42,48,53,8,3,2020-06-22,,0.8912655971479501,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077,,0.07119576708211228,0.0995927073240062,0.07049163312195951,0.14820343351786636,,,0.2727272727272727,0.3116883116883117,0.34415584415584416,0.05194805194805195,,0.306,0.25,0.39,0.028,0.005,0.054
42,48,53,8,3,2020-06-23,,0.8912655971479501,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077,,0.07119576708211228,0.0995927073240062,0.07049163312195951,0.14820343351786636,,,0.2727272727272727,0.3116883116883117,0.34415584415584416,0.05194805194805195,,0.306,0.25,0.39,0.028,0.005,0.054
42,48,53,8,3,2020-06-24,,0.8912655971479501,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077,,0.07119576708211228,0.0995927073240062,0.07049163312195951,0.14820343351786636,,,0.2727272727272727,0.3116883116883117,0.34415584415584416,0.05194805194805195,,0.306,0.25,0.39,0.028,0.005,0.054
44,48,52,8,3,2020-06-25,,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2838709677419355,0.3096774193548387,0.33548387096774196,0.05161290322580645,,0.306,0.25,0.39,0.028,0.005,0.054
44,48,52,8,3,2020-06-26,,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2838709677419355,0.3096774193548387,0.33548387096774196,0.05161290322580645,,0.306,0.25,0.39,0.028,0.005,0.054
44,48,52,8,3,2020-06-27,,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2838709677419355,0.3096774193548387,0.33548387096774196,0.05161290322580645,,0.306,0.25,0.39,0.028,0.005,0.054
44,48,52,8,3,2020-06-28,,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2838709677419355,0.3096774193548387,0.33548387096774196,0.05161290322580645,,0.306,0.25,0.39,0.028,0.005,0.054
44,48,52,8,3,2020-06-29,,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2838709677419355,0.3096774193548387,0.33548387096774196,0.05161290322580645,,0.306,0.25,0.39,0.028,0.005,0.054
44,48,52,8,3,2020-06-30,,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,0.2838709677419355,0.3096774193548387,0.33548387096774196,0.05161290322580645,,0.306,0.25,0.39,0.028,0.005,0.054
46,51,55,8,4,2020-07-06,0,0.9110714993067935,1.2363636363636363,0.8547008547008547,1.7316017316017316,0.4489337822671156,0.0,0.07797631632802773,0.10581725153175658,0.07315169474920327,0.14820343351786636,0.0,,0.2787878787878788,0.3090909090909091,0.3333333333333333,0.048484848484848485,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,51,55,8,4,2020-07-07,0,0.9110714993067935,1.2363636363636363,0.8547008547008547,1.7316017316017316,0.4489337822671156,0.0,0.07797631632802773,0.10581725153175658,0.07315169474920327,0.14820343351786636,0.0,,0.2787878787878788,0.3090909090909091,0.3333333333333333,0.048484848484848485,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,51,55,8,4,2020-07-08,0,0.9110714993067935,1.2363636363636363,0.8547008547008547,1.7316017316017316,0.4489337822671156,0.0,0.07797631632802773,0.10581725153175658,0.07315169474920327,0.14820343351786636,0.0,,0.2787878787878788,0.3090909090909091,0.3333333333333333,0.048484848484848485,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,52,55,8,4,2020-07-09,0,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.0,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,,0.27710843373493976,0.3132530120481928,0.3313253012048193,0.04819277108433735,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,52,55,8,4,2020-07-10,0,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.0,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,,0.27710843373493976,0.3132530120481928,0.3313253012048193,0.04819277108433735,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,52,55,8,4,2020-07-11,0,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.0,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,,0.27710843373493976,0.3132530120481928,0.3313253012048193,0.04819277108433735,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,52,55,8,4,2020-07-12,0,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.0,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,,0.27710843373493976,0.3132530120481928,0.3313253012048193,0.04819277108433735,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,52,55,8,5,2020-07-13,0,0.9001604633869517,1.2455089820359282,0.8444649163212037,1.7108639863130881,0.5544466622310934,0.0,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,,0.2754491017964072,0.31137724550898205,0.32934131736526945,0.04790419161676647,0.0,0.306,0.25,0.39,0.028,0.005,0.054
47,54,55,8,5,2020-07-14,0,0.9034986543637064,1.2705882352941176,0.8295625942684767,1.680672268907563,0.5446623093681917,0.0,0.0796714536395066,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,,0.27647058823529413,0.3176470588235294,0.3235294117647059,0.047058823529411764,0.0,0.306,0.25,0.39,0.028,0.005,0.054
46,54,55,8,5,2020-07-15,0,0.8878310476406361,1.2485549132947977,0.8151771157551504,1.6515276630883566,0.5352172982230786,0.0,0.07797631632802773,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,,0.27167630057803466,0.31213872832369943,0.3179190751445087,0.046242774566473986,0.0,0.306,0.25,0.39,0.028,0.005,0.054
50,54,55,8,5,2020-07-16,0,0.9284016636957815,1.2272727272727273,0.8012820512820512,1.6233766233766234,0.5260942760942761,0.0,0.0847568655739432,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,,0.2840909090909091,0.3068181818181818,0.3125,0.045454545454545456,0.0,0.306,0.25,0.39,0.028,0.005,0.054
51,54,55,8,5,2020-07-17,0,0.9416195856873824,1.2203389830508475,0.7967550340431697,1.6142050040355125,0.5231219920485457,0.0,0.08645200288542206,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,,0.288135593220339,0.3050847457627119,0.3107344632768362,0.04519774011299435,0.0,0.306,0.25,0.39,0.028,0.005,0.054
58,60,55,8,5,2020-07-30,1,0.9975920192638459,1.263157894736842,0.7557354925775978,1.5037593984962405,0.4873294346978557,1.0526315789473684,0.0983179640657741,0.12449088415500775,0.07315169474920327,0.14820343351786636,0.10374240346250646,,0.30526315789473685,0.3157894736842105,0.29473684210526313,0.042105263157894736,0.005263157894736842,0.306,0.25,0.39,0.028,0.005,0.054
58,60,55,8,5,2020-08-01,1,0.9923690243985901,1.256544502617801,0.7517787622499663,1.4958863126402393,0.48477797168896647,1.0471204188481675,0.0983179640657741,0.12449088415500775,0.07315169474920327,0.14820343351786636,0.10374240346250646,,0.3036649214659686,0.31413612565445026,0.2931937172774869,0.041884816753926704,0.005235602094240838,0.306,0.25,0.39,0.028,0.005,0.054
58,60,55,8,5,2020-08-02,1,0.9923690243985901,1.256544502617801,0.7517787622499663,1.4958863126402393,0.48477797168896647,1.0471204188481675,0.0983179640657741,0.12449088415500775,0.07315169474920327,0.14820343351786636,0.10374240346250646,,0.3036649214659686,0.31413612565445026,0.2931937172774869,0.041884816753926704,0.005235602094240838,0.306,0.25,0.39,0.028,0.005,0.054
60,63,57,7,5,2020-08-06,0,1.0004001600640255,1.2857142857142858,0.7456828885400314,1.4577259475218658,0.472411186696901,1.020408163265306,0.10170823868873183,0.13071542836275812,0.07581175637644702,0.12967800432813306,0.0,,0.30612244897959184,0.32142857142857145,0.29081632653061223,0.04081632653061224,0.00510204081632653,0.306,0.25,0.39,0.028,0.005,0.054
