Native American,Native Hawaiian/Pacific Islander,Multi-Race,Black,Asian,White,Hispanic,date,Native American_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Multi-Race_discrepancy,Black_discrepancy,Asian_discrepancy,White_discrepancy,Hispanic_discrepancy,Native American_rates,Native Hawaiian/Pacific Islander_rates,Multi-Race_rates,Black_rates,Asian_rates,White_rates,Hispanic_rates,Native American_covidperc,Native Hawaiian/Pacific Islander_covidperc,Multi-Race_covidperc,Black_covidperc,Asian_covidperc,White_covidperc,Hispanic_covidperc,Native American_demperc,Native Hawaiian/Pacific Islander_demperc,Multi-Race_demperc,Black_demperc,Asian_demperc,White_demperc,Hispanic_demperc
15,36,44,152,385,496,1633,2020-06-23,1.6666666666666667,4.333333333333333,0.2962962962962963,1.0576923076923077,0.4064327485380117,0.44334975369458124,3.888157894736842,2.4307861989034563,8.167441628315613,1.109158739647799,3.0789958519443776,1.2131423714897804,1.3996168627848755,12.186981157747985,0.005,0.013,0.016,0.055,0.139,0.18,0.591,0.003,0.003,0.054,0.052,0.342,0.406,0.152
15,36,46,155,389,503,1660,2020-06-24,1.6666666666666667,4.333333333333333,0.2962962962962963,1.0576923076923077,0.4064327485380117,0.4408866995073891,3.8947368421052633,2.4307861989034563,8.167441628315613,1.1595750459954264,3.139765506916964,1.225746448076687,1.4193695201225651,12.388480540025508,0.005,0.013,0.016,0.055,0.139,0.179,0.592,0.003,0.003,0.054,0.052,0.342,0.406,0.152
15,36,46,155,389,503,1660,2020-06-25,1.6666666666666667,4.333333333333333,0.2962962962962963,1.0576923076923077,0.4064327485380117,0.4408866995073891,3.8947368421052633,2.4307861989034563,8.167441628315613,1.1595750459954264,3.139765506916964,1.225746448076687,1.4193695201225651,12.388480540025508,0.005,0.013,0.016,0.055,0.139,0.179,0.592,0.003,0.003,0.054,0.052,0.342,0.406,0.152
17,36,53,166,402,520,1691,2020-06-26,2.0,4.0,0.3333333333333333,1.1153846153846154,0.4064327485380117,0.44334975369458124,3.8552631578947367,2.754891025423917,8.167441628315613,1.3360321182121218,3.362587575149781,1.2667096969841343,1.4673402593712404,12.619831682640443,0.006,0.012,0.018,0.058,0.139,0.18,0.586,0.003,0.003,0.054,0.052,0.342,0.406,0.152
16,37,53,172,406,537,1723,2020-06-27,1.6666666666666667,4.333333333333333,0.3333333333333333,1.1153846153846154,0.40350877192982454,0.44827586206896547,3.8486842105263155,2.592838612163687,8.394315006879935,1.3360321182121218,3.484126885094954,1.2793137735710411,1.5153109986199156,12.85864576533973,0.005,0.013,0.018,0.058,0.138,0.182,0.585,0.003,0.003,0.054,0.052,0.342,0.406,0.152
16,36,56,184,423,557,1814,2020-06-29,1.6666666666666667,4.0,0.3333333333333333,1.153846153846154,0.40058479532163743,0.44334975369458124,3.8684210526315788,2.592838612163687,8.167441628315613,1.4116565777335626,3.7272055049852995,1.332881099065395,1.5717471624418864,13.537773313015826,0.005,0.012,0.018,0.06,0.137,0.18,0.588,0.003,0.003,0.054,0.052,0.342,0.406,0.152
16,36,56,184,423,557,1814,2020-06-30,1.6666666666666667,4.0,0.3333333333333333,1.153846153846154,0.40058479532163743,0.44334975369458124,3.8684210526315788,2.592838612163687,8.167441628315613,1.4116565777335626,3.7272055049852995,1.332881099065395,1.5717471624418864,13.537773313015826,0.005,0.012,0.018,0.06,0.137,0.18,0.588,0.003,0.003,0.054,0.052,0.342,0.406,0.152
17,37,56,203,441,581,1908,2020-07-02,1.6666666666666667,3.6666666666666665,0.3148148148148148,1.2115384615384617,0.39766081871345027,0.4408866995073891,3.8684210526315788,2.754891025423917,8.394315006879935,1.4116565777335626,4.112079986478347,1.3895994437064756,1.6394705590282512,14.239289680944982,0.005,0.011,0.017,0.063,0.136,0.179,0.588,0.003,0.003,0.054,0.052,0.342,0.406,0.152
17,37,56,203,441,581,1908,2020-07-03,1.6666666666666667,3.6666666666666665,0.3148148148148148,1.2115384615384617,0.39766081871345027,0.4408866995073891,3.8684210526315788,2.754891025423917,8.394315006879935,1.4116565777335626,4.112079986478347,1.3895994437064756,1.6394705590282512,14.239289680944982,0.005,0.011,0.017,0.063,0.136,0.179,0.588,0.003,0.003,0.054,0.052,0.342,0.406,0.152
17,37,56,203,441,581,1908,2020-07-05,1.6666666666666667,3.6666666666666665,0.3148148148148148,1.2115384615384617,0.39766081871345027,0.4408866995073891,3.8684210526315788,2.754891025423917,8.394315006879935,1.4116565777335626,4.112079986478347,1.3895994437064756,1.6394705590282512,14.239289680944982,0.005,0.011,0.017,0.063,0.136,0.179,0.588,0.003,0.003,0.054,0.052,0.342,0.406,0.152
