Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
1985,1632,722,470,35,14,23,2020-06-13,1.0321800995676804,0.9135456655280931,1.0201414351214069,1.7507589726397348,0.2328136931701775,0.8195041999590248,1.3089303193789978,0.1275066468922755,0.11316075222374425,0.11788920395921616,0.1830008205503707,0.022145046103834755,0.022145046103834755,0.11641967094587415,0.40667895922966607,0.3343577135832821,0.147920508092604,0.09629174349518542,0.007170661749641467,0.002868264699856587,0.004712149149764392,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
1992,1639,724,471,36,14,23,2020-06-14,1.0320141995206729,0.9140930958364426,1.0192087055064019,1.748037632912097,0.2385856641827248,0.8164931618697693,1.3041210224308817,0.12795629249844476,0.11364612309725296,0.11821576685106995,0.18339018399835022,0.022777761706801465,0.022145046103834755,0.11641967094587415,0.40661359461114516,0.334558073076138,0.14778526229842825,0.09614206981016533,0.007348438456827924,0.0028577260665441926,0.004694835680751174,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2004,1646,726,474,36,14,23,2020-06-15,1.0331696965760013,0.9135217874391309,1.0170417533463616,1.7505955348734141,0.23742254089603265,0.8125126955108674,1.2977633331076353,0.128727113537592,0.11413149397076167,0.11854232974292374,0.18455827434228878,0.022777761706801465,0.022145046103834755,0.11641967094587415,0.40706886045094454,0.3343489742027219,0.14747105423522242,0.09628275441803778,0.007312614259597806,0.002843794434288036,0.004671947999187487,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2057,1687,745,484,35,15,21,2020-06-17,1.0350539616853918,0.9138163397078387,1.0186223303891275,1.7446471054718478,0.22529017374378196,0.8496657981194063,1.1564895585514143,0.13213157312715906,0.11697438051559839,0.12164467721553468,0.18845190882208387,0.022145046103834755,0.023726835111251524,0.10629622129840682,0.4078112609040444,0.33445678033306897,0.14770023790642348,0.09595559080095163,0.006938937351308485,0.002973830293417922,0.004163362410785091,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2085,1712,758,491,36,15,22,2020-06-18,1.0337718641509732,0.913771367145009,1.0212123865787364,1.743948569500435,0.22833193374314686,0.8372170903915385,1.1938095548175642,0.133930155551836,0.11870784792098663,0.12376733601258429,0.19117745295794047,0.022777761706801465,0.023726835111251524,0.11135794612214049,0.4073061144754835,0.33444032037507326,0.14807579605391677,0.09591717132252393,0.007032623559288923,0.0029302598163703846,0.0042977143973432315,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2115,1739,765,495,36,15,22,2020-06-19,1.034898844142766,0.916014289612219,1.0171316886380408,1.735106998264893,0.22533857120323283,0.826241427745187,1.178159072895915,0.13585720814970415,0.12057999271880591,0.12491030613407253,0.19273490674985852,0.022777761706801465,0.023726835111251524,0.11135794612214049,0.40775014459224984,0.3352612299980721,0.1474840948525159,0.09543088490456912,0.006940427993059572,0.002891844997108155,0.004241372662425294,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2182,1784,774,502,37,16,22,2020-06-21,1.0415781579819159,0.9167419484466259,1.0039366248792099,1.716620787525433,0.22593543375939465,0.8597759209006153,1.1493532275928364,0.14016095895160965,0.12370023404850475,0.12637983914741455,0.1954604508857151,0.023410477309768172,0.025308624118668292,0.11135794612214049,0.4103817942448749,0.3355275531314651,0.14557081060748542,0.09441414331389882,0.006958811359789355,0.0030092157231521536,0.004137671619334211,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2192,1787,778,506,37,16,22,2020-06-22,1.0422352522760858,0.9146709743728336,1.0051549721579827,1.72349194454852,0.22504659072662067,0.8563935128191403,1.1448316056783647,0.1408033098175657,0.12390825013715134,0.12703296493112212,0.19701790467763317,0.023410477309768172,0.025308624118668292,0.11135794612214049,0.41064068939677784,0.3347695766204571,0.14574747096290747,0.0947920569501686,0.006931434994379917,0.0029973772948669914,0.004121393780442113,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2225,1783,785,511,37,18,22,2020-06-23,1.0494718680221913,0.9053307376795301,1.00609423962986,1.7266138433207752,0.22324822547829423,0.9557437544800488,1.135683165045737,0.14292306767522067,0.12363089535228922,0.12817593505261038,0.1989647219175307,0.023410477309768172,0.02847220213350183,0.11135794612214049,0.41349191600074336,0.331351049990708,0.1458836647463297,0.09496376138264263,0.006876045344731463,0.003345103140680171,0.004088459394164653,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
2265,1807,805,519,38,18,24,2020-06-24,1.0498047780253843,0.9015994284049224,1.0138283670436514,1.7232219934922637,0.22530427935833341,0.9391631013252635,1.2174336498660823,0.14549247113904487,0.12529502406146192,0.13144156397114823,0.20207962950136682,0.02404319291273488,0.02847220213350183,0.1214813957696078,0.4136230825420015,0.3299853907962016,0.14700511322132945,0.0947772096420745,0.006939371804236669,0.003287070854638422,0.004382761139517896,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
