White,Hispanic,Asian,Black,Native Hawaiian/Pacific Islander,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy
672,334,183,164,59,2020-06-14,0.7579617834394904,1.0042372881355932,0.7647058823529411,1.0642201834862386,3.2307692307692313
680,342,184,167,60,2020-06-15,0.7563694267515924,1.0127118644067796,0.7529411764705882,1.073394495412844,3.2307692307692313
681,361,188,169,61,2020-06-16,0.7420382165605096,1.0466101694915255,0.7588235294117647,1.0642201834862386,3.2307692307692313
688,382,190,174,63,2020-06-17,0.7324840764331211,1.0805084745762712,0.7470588235294118,1.0642201834862386,3.2307692307692313
696,395,193,186,63,2020-06-18,0.7229299363057325,1.093220338983051,0.7411764705882352,1.110091743119266,3.153846153846154
700,415,194,195,66,2020-06-19,0.7101910828025478,1.1186440677966103,0.7294117647058823,1.1376146788990826,3.2307692307692313
716,452,201,206,65,2020-06-20,0.695859872611465,1.169491525423729,0.7235294117647059,1.1559633027522935,3.076923076923077
732,473,205,214,66,2020-06-21,0.6894904458598726,1.1864406779661019,0.7117647058823529,1.1651376146788992,3.0
742,500,212,217,68,2020-06-22,0.6799363057324841,1.2203389830508475,0.7176470588235293,1.146788990825688,3.0
763,522,215,225,68,2020-06-23,0.678343949044586,1.2330508474576272,0.7058823529411764,1.146788990825688,2.9230769230769234
778,539,223,230,69,2020-06-24,0.6735668789808917,1.2415254237288136,0.7117647058823529,1.146788990825688,2.9230769230769234
790,569,229,235,71,2020-06-25,0.6640127388535032,1.271186440677966,0.7117647058823529,1.1376146788990826,2.8461538461538463
817,593,243,245,71,2020-06-26,0.660828025477707,1.2754237288135593,0.7235294117647059,1.1376146788990826,2.769230769230769
817,593,243,245,71,2020-06-27,0.660828025477707,1.2754237288135593,0.7235294117647059,1.1376146788990826,2.769230769230769
837,634,250,256,73,2020-06-28,0.6496815286624203,1.3093220338983051,0.7176470588235293,1.146788990825688,2.769230769230769
872,681,264,288,74,2020-06-29,0.6369426751592357,1.326271186440678,0.7117647058823529,1.2110091743119267,2.615384615384616
894,755,282,301,76,2020-06-30,0.6162420382165605,1.3855932203389831,0.7176470588235293,1.1926605504587156,2.5384615384615388
933,853,301,327,78,2020-07-02,0.5955414012738853,1.4491525423728815,0.7117647058823529,1.2018348623853212,2.3846153846153846
1018,937,322,363,82,2020-07-03,0.5955414012738853,1.4576271186440677,0.6941176470588234,1.2201834862385321,2.307692307692308
1048,991,341,380,82,2020-07-05,0.5875796178343949,1.478813559322034,0.7058823529411764,1.2293577981651378,2.230769230769231
1112,1091,365,420,83,2020-07-06,0.5764331210191083,1.5042372881355932,0.7,1.2568807339449541,2.076923076923077
1112,1091,365,420,83,2020-07-07,0.5764331210191083,1.5042372881355932,0.7,1.2568807339449541,2.076923076923077
1129,1120,379,436,86,2020-07-08,0.5700636942675159,1.5084745762711864,0.7058823529411764,1.2660550458715598,2.076923076923077
1169,1162,389,456,87,2020-07-09,0.5700636942675159,1.5084745762711864,0.7,1.2844036697247707,2.076923076923077
1220,1263,409,493,89,2020-07-10,0.5589171974522292,1.5423728813559323,0.6941176470588234,1.3027522935779816,2.0
1248,1291,413,500,91,2020-07-11,0.5605095541401274,1.5423728813559323,0.6882352941176471,1.293577981651376,2.0
1248,1291,413,500,91,2020-07-12,0.5605095541401274,1.5423728813559323,0.6882352941176471,1.293577981651376,2.0
1285,1329,430,523,94,2020-07-13,0.5589171974522292,1.538135593220339,0.6882352941176471,1.311926605504587,2.0
1322,1391,446,541,96,2020-07-14,0.554140127388535,1.5508474576271187,0.6882352941176471,1.311926605504587,1.9230769230769234
1366,1439,455,559,97,2020-07-15,0.555732484076433,1.555084745762712,0.6823529411764706,1.311926605504587,1.9230769230769234
1403,1484,468,584,97,2020-07-16,0.554140127388535,1.5593220338983051,0.6823529411764706,1.3302752293577982,1.8461538461538463
1472,1552,490,605,98,2020-07-17,0.555732484076433,1.5593220338983051,0.6823529411764706,1.311926605504587,1.7692307692307694
1472,1552,490,605,98,2020-07-18,0.555732484076433,1.5593220338983051,0.6823529411764706,1.311926605504587,1.7692307692307694
1507,1597,499,624,99,2020-07-19,0.554140127388535,1.5635593220338984,0.676470588235294,1.3211009174311925,1.7692307692307694
1564,1667,514,646,99,2020-07-20,0.554140127388535,1.5720338983050848,0.6705882352941176,1.3211009174311925,1.6923076923076923
1637,1743,543,678,102,2020-07-21,0.554140127388535,1.5720338983050848,0.676470588235294,1.3211009174311925,1.6923076923076923
1687,1807,559,700,105,2020-07-22,0.5525477707006369,1.576271186440678,0.676470588235294,1.3211009174311925,1.6923076923076923
1733,1865,577,722,107,2020-07-23,0.5509554140127388,1.5805084745762712,0.676470588235294,1.3211009174311925,1.6153846153846156
1787,1943,602,755,109,2020-07-24,0.5477707006369427,1.5847457627118644,0.6823529411764706,1.3302752293577982,1.6153846153846156
1797,1962,606,763,109,2020-07-25,0.5461783439490446,1.5889830508474576,0.6823529411764706,1.3394495412844036,1.6153846153846156
1867,1998,633,789,110,2020-07-26,0.5509554140127388,1.5677966101694916,0.6882352941176471,1.3394495412844036,1.5384615384615385
1961,2072,679,828,115,2020-07-28,0.5525477707006369,1.5508474576271187,0.7058823529411764,1.3394495412844036,1.5384615384615385
1976,2103,684,838,115,2020-07-29,0.5509554140127388,1.5593220338983051,0.7058823529411764,1.348623853211009,1.5384615384615385
1996,2139,687,850,120,2020-07-30,0.5493630573248407,1.5635593220338984,0.7,1.348623853211009,1.6153846153846156
2060,2192,704,868,125,2020-08-01,0.5509554140127388,1.5593220338983051,0.6941176470588234,1.3394495412844036,1.6153846153846156
2067,2215,716,876,124,2020-08-02,0.5493630573248407,1.5635593220338984,0.7,1.3394495412844036,1.6153846153846156
2266,2386,789,950,134,2020-08-06,0.5525477707006369,1.5508474576271187,0.7117647058823529,1.3394495412844036,1.6153846153846156
2266,2386,789,950,134,2020-08-07,0.5525477707006369,1.5508474576271187,0.7117647058823529,1.3394495412844036,1.6153846153846156
2266,2386,789,950,134,2020-08-08,0.5525477707006369,1.5508474576271187,0.7117647058823529,1.3394495412844036,1.6153846153846156
