time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,1.37,1.36713022994169,california,riverside,Hispanic
2,2020-06-15,1.38,1.3672790913509578,california,riverside,Hispanic
3,2020-06-16,1.38,1.367427952760226,california,riverside,Hispanic
4,2020-06-17,1.388,1.3675768141694937,california,riverside,Hispanic
5,2020-06-18,1.392,1.3677256755787615,california,riverside,Hispanic
6,2020-06-19,1.402,1.3678745369880296,california,riverside,Hispanic
9,2020-06-22,1.402,1.3683211212158333,california,riverside,Hispanic
10,2020-06-23,1.4,1.368469982625101,california,riverside,Hispanic
11,2020-06-24,1.4,1.3686188440343687,california,riverside,Hispanic
12,2020-06-25,1.406,1.368767705443637,california,riverside,Hispanic
13,2020-06-26,1.41,1.3689165668529046,california,riverside,Hispanic
16,2020-06-29,1.406,1.3693631510807083,california,riverside,Hispanic
17,2020-06-30,1.406,1.369512012489976,california,riverside,Hispanic
19,2020-07-02,1.408,1.369809735308512,california,riverside,Hispanic
20,2020-07-03,1.406,1.3699585967177796,california,riverside,Hispanic
23,2020-07-06,1.402,1.3704051809455833,california,riverside,Hispanic
25,2020-07-08,1.396,1.3707029037641192,california,riverside,Hispanic
26,2020-07-09,1.388,1.370851765173387,california,riverside,Hispanic
27,2020-07-10,1.382,1.3710006265826546,california,riverside,Hispanic
30,2020-07-13,1.382,1.3714472108104583,california,riverside,Hispanic
31,2020-07-14,1.372,1.3715960722197265,california,riverside,Hispanic
32,2020-07-15,1.366,1.3717449336289942,california,riverside,Hispanic
33,2020-07-16,1.362,1.371893795038262,california,riverside,Hispanic
34,2020-07-17,1.364,1.37204265644753,california,riverside,Hispanic
37,2020-07-20,1.364,1.3724892406753337,california,riverside,Hispanic
38,2020-07-21,1.364,1.3726381020846015,california,riverside,Hispanic
39,2020-07-22,1.364,1.3727869634938692,california,riverside,Hispanic
40,2020-07-23,1.366,1.3729358249031374,california,riverside,Hispanic
41,2020-07-24,1.366,1.373084686312405,california,riverside,Hispanic
45,2020-07-28,1.366,1.3736801319494765,california,riverside,Hispanic
46,2020-07-29,1.368,1.3738289933587442,california,riverside,Hispanic
47,2020-07-30,1.37,1.3739778547680124,california,riverside,Hispanic
49,2020-08-01,1.376,1.3742755775865478,california,riverside,Hispanic
54,2020-08-06,1.378,1.3750198846328874,california,riverside,Hispanic
55,2020-08-07,1.382,1.375168746042155,california,riverside,Hispanic
60,2020-08-12,1.382,1.3759130530884947,california,riverside,Hispanic
61,2020-08-13,1.384,1.3760619144977624,california,riverside,Hispanic
62,2020-08-14,1.384,1.3762107759070306,california,riverside,Hispanic
69,2020-08-21,1.39,1.3772528057719056,california,riverside,Hispanic
72,2020-08-24,1.392,1.3776993899997092,california,riverside,Hispanic
73,2020-08-25,1.394,1.377848251408977,california,riverside,Hispanic
74,2020-08-26,1.396,1.3779971128182447,california,riverside,Hispanic
75,2020-08-27,1.398,1.3781459742275128,california,riverside,Hispanic
76,2020-08-28,1.4,1.3782948356367806,california,riverside,Hispanic
79,2020-08-31,1.402,1.3787414198645842,california,riverside,Hispanic
80,2020-09-01,1.402,1.378890281273852,california,riverside,Hispanic
81,2020-09-02,1.404,1.3790391426831201,california,riverside,Hispanic
82,2020-09-03,1.404,1.3791880040923878,california,riverside,Hispanic
83,2020-09-04,1.406,1.3793368655016556,california,riverside,Hispanic
87,2020-09-08,1.408,1.3799323111387274,california,riverside,Hispanic
88,2020-09-09,1.41,1.3800811725479951,california,riverside,Hispanic
89,2020-09-10,1.41,1.3802300339572628,california,riverside,Hispanic
90,2020-09-11,1.412,1.380378895366531,california,riverside,Hispanic
93,2020-09-14,1.414,1.3808254795943347,california,riverside,Hispanic
94,2020-09-15,1.414,1.3809743410036024,california,riverside,Hispanic
95,2020-09-16,1.416,1.3811232024128701,california,riverside,Hispanic
96,2020-09-17,1.418,1.3812720638221379,california,riverside,Hispanic
97,2020-09-18,1.418,1.381420925231406,california,riverside,Hispanic
100,2020-09-21,1.418,1.3818675094592097,california,riverside,Hispanic
101,2020-09-22,1.42,1.3820163708684774,california,riverside,Hispanic
102,2020-09-23,1.42,1.3821652322777451,california,riverside,Hispanic
103,2020-09-24,1.422,1.3823140936870133,california,riverside,Hispanic
104,2020-09-25,1.422,1.382462955096281,california,riverside,Hispanic
107,2020-09-28,1.422,1.3829095393240847,california,riverside,Hispanic
108,2020-09-29,1.42,1.3830584007333524,california,riverside,Hispanic
109,2020-09-30,1.42,1.3832072621426206,california,riverside,Hispanic
