time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,14.087913122371704,25.685266255094767,california,imperial,Hispanic
2,2020-06-15,14.152834381000144,25.769941035259528,california,imperial,Hispanic
3,2020-06-16,14.315137527571249,25.85461581542429,california,imperial,Hispanic
4,2020-06-17,14.944873736267125,25.93929059558905,california,imperial,Hispanic
5,2020-06-18,15.457751679431805,26.023965375753804,california,imperial,Hispanic
6,2020-06-19,16.509476069212553,26.108640155918565,california,imperial,Hispanic
7,2020-06-20,17.308007550342378,26.193314936083326,california,imperial,Hispanic
10,2020-06-23,17.502771326227702,26.4473392765776,california,imperial,Hispanic
11,2020-06-24,18.29481068149468,26.532014056742362,california,imperial,Hispanic
12,2020-06-25,18.716798862579545,26.616688836907116,california,imperial,Hispanic
13,2020-06-26,19.06088153331029,26.701363617071877,california,imperial,Hispanic
14,2020-06-27,19.58674372820066,26.786038397236638,california,imperial,Hispanic
16,2020-06-29,19.690617742006165,26.955387957566153,california,imperial,Hispanic
17,2020-06-30,19.85941301444011,27.040062737730914,california,imperial,Hispanic
19,2020-07-02,20.846216145592415,27.20941229806043,california,imperial,Hispanic
20,2020-07-03,21.60579487154517,27.29408707822519,california,imperial,Hispanic
22,2020-07-05,21.94338541641307,27.463436638554704,california,imperial,Hispanic
23,2020-07-06,22.871759414799772,27.548111418719465,california,imperial,Hispanic
25,2020-07-08,23.42359011314152,27.717460979048987,california,imperial,Hispanic
26,2020-07-09,23.68976727351813,27.802135759213748,california,imperial,Hispanic
27,2020-07-10,24.05981844770025,27.88681053937851,california,imperial,Hispanic
30,2020-07-13,24.722015285710345,28.140834879872777,california,imperial,Hispanic
31,2020-07-14,24.76746016675025,28.225509660037538,california,imperial,Hispanic
32,2020-07-15,25.03363732712686,28.3101844402023,california,imperial,Hispanic
33,2020-07-16,25.70881841686265,28.39485922036706,california,imperial,Hispanic
34,2020-07-17,25.95551919965073,28.47953400053182,california,imperial,Hispanic
35,2020-07-18,26.260649115204398,28.564208780696568,california,imperial,Hispanic
37,2020-07-20,26.44242863936403,28.73355834102609,california,imperial,Hispanic
39,2020-07-22,26.611223911797985,28.90290790135561,california,imperial,Hispanic
40,2020-07-23,27.15007035841404,28.987582681520372,california,imperial,Hispanic
41,2020-07-24,27.41624751879065,29.072257461685133,california,imperial,Hispanic
42,2020-07-25,27.64347192399019,29.15693224184988,california,imperial,Hispanic
45,2020-07-28,28.149857741292035,29.410956582344163,california,imperial,Hispanic
46,2020-07-29,28.532893167199834,29.495631362508924,california,imperial,Hispanic
47,2020-07-30,29.019802606913142,29.580306142673685,california,imperial,Hispanic
49,2020-08-01,29.44828291386085,29.749655703003206,california,imperial,Hispanic
54,2020-08-06,30.31822777948196,30.173029603826997,california,imperial,Hispanic
55,2020-08-07,30.642834072624165,30.257704383991758,california,imperial,Hispanic
56,2020-08-08,30.850582100235176,30.34237916415652,california,imperial,Hispanic
60,2020-08-12,31.253093903731518,30.68107828481555,california,imperial,Hispanic
62,2020-08-14,31.421889176165447,30.85042784514507,california,imperial,Hispanic
69,2020-08-21,31.759479721033355,31.443151306298383,california,imperial,Hispanic
72,2020-08-24,31.869845860701695,31.69717564679265,california,imperial,Hispanic
73,2020-08-25,31.96073562278152,31.781850426957412,california,imperial,Hispanic
74,2020-08-26,32.05162538486134,31.866525207122173,california,imperial,Hispanic
75,2020-08-27,32.18146790211822,31.951199987286934,california,imperial,Hispanic
76,2020-08-28,32.317802545237946,32.035874767451695,california,imperial,Hispanic
77,2020-08-29,32.44115293663198,32.120549547616456,california,imperial,Hispanic
79,2020-08-31,32.48010569180905,32.28989910794596,california,imperial,Hispanic
80,2020-09-01,32.603456083203085,32.374573888110724,california,imperial,Hispanic
81,2020-09-02,32.668377341831516,32.459248668275485,california,imperial,Hispanic
82,2020-09-03,32.72680647459713,32.543923448440246,california,imperial,Hispanic
83,2020-09-04,32.798219859088405,32.62859822860501,california,imperial,Hispanic
84,2020-09-05,32.84366474012832,32.71327300876977,california,imperial,Hispanic
87,2020-09-08,32.85664899185401,32.96729734926404,california,imperial,Hispanic
88,2020-09-09,32.94104662807098,33.0519721294288,california,imperial,Hispanic
89,2020-09-10,33.22670016603612,33.13664690959356,california,imperial,Hispanic
90,2020-09-11,33.30460567639025,33.22132168975832,california,imperial,Hispanic
91,2020-09-12,33.408479690195755,33.30599646992308,california,imperial,Hispanic
93,2020-09-14,33.62921196953245,33.47534603025259,california,imperial,Hispanic
