,Black,Hispanic,Asian,White,Other,date,Black_discrepancy,Hispanic_discrepancy,Asian_discrepancy,White_discrepancy,Other_discrepancy
0,99,2172,110,453,29,2020-06-14,0.5555555555555556,1.39010989010989,0.7037037037037037,0.4817073170731707,0.1639344262295082
1,99,2172,110,453,29,2020-06-15,0.5555555555555556,1.39010989010989,0.7037037037037037,0.4817073170731707,0.1639344262295082
2,108,2289,111,470,29,2020-06-16,0.5714285714285714,1.3937728937728937,0.6851851851851851,0.47560975609756095,0.1639344262295082
3,108,2289,111,470,29,2020-06-17,0.5714285714285714,1.3937728937728937,0.6851851851851851,0.47560975609756095,0.1639344262295082
4,114,2408,115,498,29,2020-06-18,0.5714285714285714,1.3937728937728937,0.6666666666666666,0.47865853658536583,0.14754098360655737
5,122,2573,118,514,29,2020-06-19,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
6,122,2573,118,514,29,2020-06-20,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
7,122,2573,118,514,29,2020-06-21,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
8,125,2635,120,526,30,2020-06-22,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
9,125,2635,120,526,30,2020-06-23,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
10,129,2760,126,551,33,2020-06-24,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
11,129,2760,126,551,33,2020-06-25,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4664634146341463,0.14754098360655737
12,140,3004,136,603,35,2020-06-28,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4695121951219512,0.14754098360655737
13,140,3004,136,603,35,2020-06-29,0.5714285714285714,1.4047619047619047,0.6481481481481483,0.4695121951219512,0.14754098360655737
14,185,3548,165,717,40,2020-07-06,0.6349206349206349,1.3956043956043955,0.6481481481481483,0.4695121951219512,0.14754098360655737
15,185,3548,165,717,40,2020-07-07,0.6349206349206349,1.3956043956043955,0.6481481481481483,0.4695121951219512,0.14754098360655737
16,185,3548,165,717,40,2020-07-08,0.6349206349206349,1.3956043956043955,0.6481481481481483,0.4695121951219512,0.14754098360655737
17,208,3871,172,788,46,2020-07-10,0.6507936507936508,1.3937728937728937,0.6296296296296297,0.4725609756097561,0.14754098360655737
18,208,3871,172,788,46,2020-07-11,0.6507936507936508,1.3937728937728937,0.6296296296296297,0.4725609756097561,0.14754098360655737
19,208,3871,172,788,46,2020-07-12,0.6507936507936508,1.3937728937728937,0.6296296296296297,0.4725609756097561,0.14754098360655737
20,221,4165,182,874,49,2020-07-16,0.6349206349206349,1.39010989010989,0.6111111111111112,0.4847560975609756,0.14754098360655737
21,281,4662,213,1124,51,2020-07-21,0.6984126984126984,1.3479853479853479,0.6296296296296297,0.5426829268292682,0.13114754098360656
22,281,4662,213,1124,51,2020-07-22,0.6984126984126984,1.3479853479853479,0.6296296296296297,0.5426829268292682,0.13114754098360656
